GAME_ID,MIN_HOME,PTS_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,TEAM_NAME_HOME,GAME_DATE_HOME,WL_HOME,MIN_AWAY,PTS_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,TEAM_NAME_AWAY,GAME_DATE_AWAY,WL_AWAY
0021500001,239.0,94.0,37.0,82.0,0.451,8.0,27.0,0.296,12.0,15.0,0.8,7.0,33.0,40.0,22.0,9.0,4.0,15.0,25.0,-12.0,Atlanta Hawks,2015-10-27 00:00:00,L,239.0,106.0,37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,0.769,23.0,36.0,59.0,23.0,5.0,3.0,15.0,15.0,12.0,Detroit Pistons,2015-10-27 00:00:00,W
0021500002,240.0,95.0,38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,0.588,11.0,39.0,50.0,26.0,5.0,7.0,10.0,21.0,-2.0,Cleveland Cavaliers,2015-10-27 00:00:00,L,240.0,97.0,37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,0.696,7.0,40.0,47.0,13.0,6.0,10.0,13.0,22.0,2.0,Chicago Bulls,2015-10-27 00:00:00,W
0021500003,241.0,111.0,41.0,96.0,0.427,9.0,30.0,0.3,20.0,22.0,0.909,21.0,35.0,56.0,29.0,8.0,7.0,20.0,29.0,16.0,Golden State Warriors,2015-10-27 00:00:00,W,241.0,95.0,35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,0.704,8.0,25.0,33.0,21.0,9.0,3.0,18.0,26.0,-16.0,New Orleans Pelicans,2015-10-27 00:00:00,L
0021500004,240.0,87.0,37.0,100.0,0.37,5.0,26.0,0.192,8.0,12.0,0.667,17.0,39.0,56.0,20.0,9.0,6.0,14.0,22.0,-1.0,Orlando Magic,2015-10-28 00:00:00,L,240.0,88.0,33.0,84.0,0.393,7.0,28.0,0.25,15.0,25.0,0.6,15.0,34.0,49.0,17.0,8.0,9.0,17.0,14.0,1.0,Washington Wizards,2015-10-28 00:00:00,W
0021500005,241.0,95.0,34.0,83.0,0.41,7.0,22.0,0.318,20.0,23.0,0.87,14.0,32.0,46.0,12.0,11.0,6.0,22.0,22.0,-17.0,Philadelphia 76ers,2015-10-28 00:00:00,L,240.0,112.0,39.0,85.0,0.459,8.0,24.0,0.333,26.0,27.0,0.963,10.0,31.0,41.0,31.0,10.0,7.0,17.0,23.0,17.0,Boston Celtics,2015-10-28 00:00:00,W
0021500006,238.0,100.0,39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,0.786,16.0,29.0,45.0,19.0,11.0,5.0,13.0,18.0,-15.0,Brooklyn Nets,2015-10-28 00:00:00,L,239.5,106.0,39.5,82.5,0.48150000000000004,10.5,23.5,0.434,16.5,21.5,0.7729999999999999,6.0,37.0,43.0,16.5,7.5,6.5,16.0,23.0,8.5,Chicago Bulls,2015-10-28 00:00:00,W
0021500007,238.0,87.0,35.0,75.0,0.467,2.0,12.0,0.167,15.0,21.0,0.714,4.0,34.0,38.0,15.0,4.0,5.0,12.0,25.0,-5.0,Utah Jazz,2015-10-28 00:00:00,L,239.5,99.0,33.5,85.0,0.395,9.5,24.0,0.391,22.5,30.0,0.752,15.5,35.5,51.0,19.5,3.5,3.5,12.5,17.5,8.5,Detroit Pistons,2015-10-28 00:00:00,W
0021500008,239.0,104.0,36.0,73.0,0.493,12.0,20.0,0.6,20.0,21.0,0.952,2.0,39.0,41.0,23.0,5.0,7.0,13.0,25.0,10.0,Miami Heat,2015-10-28 00:00:00,W,240.0,94.0,33.0,84.0,0.393,6.0,24.0,0.25,22.0,29.0,0.759,11.0,32.0,43.0,16.0,4.0,1.0,8.0,16.0,-10.0,Charlotte Hornets,2015-10-28 00:00:00,L
0021500009,241.0,99.0,32.0,86.0,0.372,9.0,23.0,0.391,26.0,31.0,0.839,8.0,32.0,40.0,23.0,14.0,3.0,13.0,30.0,-7.0,Indiana Pacers,2015-10-28 00:00:00,L,239.0,106.0,36.0,80.0,0.45,7.0,18.0,0.389,27.0,39.0,0.692,9.0,41.0,50.0,19.0,8.0,2.0,20.0,24.0,7.0,Toronto Raptors,2015-10-28 00:00:00,W
0021500010,241.0,105.0,40.0,79.0,0.506,13.0,27.0,0.481,12.0,18.0,0.667,9.0,40.0,49.0,26.0,9.0,10.0,21.0,26.0,20.0,Denver Nuggets,2015-10-28 00:00:00,W,239.0,85.0,30.0,87.0,0.345,8.0,35.0,0.229,17.0,26.0,0.654,15.0,29.0,44.0,17.0,13.0,8.0,16.0,19.0,-20.0,Houston Rockets,2015-10-28 00:00:00,L
